Episode,Rewards, QoS violation, Action type
903,488.22848,0.01744,0
904,488.21096,0.01752,2
905,489.19351,0.01745,2
906,490.17611,0.0174,2
907,491.15876,0.01735,2
908,492.14142,0.01734,5
909,493.12411,0.01731,3
910,493.10678,0.01733,2
911,494.08947,0.01731,5
912,495.07218,0.01729,5
913,496.05489,0.01729,5
914,497.03761,0.01728,0
915,497.02029,0.01732,0
916,497.0029,0.01739,0
917,496.98546,0.01744,0
918,496.96794,0.01752,0
919,496.95035,0.01759,0
920,496.93271,0.01764,2
921,497.91512,0.01759,2
922,498.89759,0.01753,5
923,499.88006,0.01753,5
924,500.86254,0.01752,5
925,501.84502,0.01752,5
926,502.8275,0.01752,5
927,503.80998,0.01752,2
928,504.79254,0.01744,5
929,505.7751,0.01744,5
930,506.75769,0.01741,2
931,507.7403,0.01739,2
932,508.72298,0.01732,2
933,509.70571,0.01727,2
934,510.68848,0.01723,2
935,511.67129,0.01719,0
936,511.65405,0.01724,0
937,511.63677,0.01728,0
938,511.61944,0.01733,0
939,511.60204,0.0174,0
940,511.58459,0.01745,0
941,511.56706,0.01753,3
942,511.54948,0.01758,4
943,512.53196,0.01752,3
944,512.51438,0.01758,3
945,512.49674,0.01764,3
946,512.47906,0.01768,3
947,513.46139,0.01767,3
948,513.44364,0.01775,0
949,513.42581,0.01783,0
950,513.40792,0.01789,0
951,513.38999,0.01793,0
952,513.37202,0.01797,0
953,513.35402,0.018,2
954,514.33603,0.01799,2
955,515.31805,0.01798,2
956,516.30011,0.01794,2
957,517.28223,0.01788,2
958,518.26443,0.0178,2
959,519.24672,0.01771,2
960,520.22904,0.01768,2
961,521.21137,0.01767,2
962,522.19374,0.01763,2
963,523.17616,0.01758,0
964,523.15853,0.01763,0
965,523.14083,0.0177,0
966,523.1231,0.01773,0
967,523.10534,0.01776,2
968,524.0876,0.01774,2
969,525.06988,0.01772,2
970,526.05223,0.01765,2
971,527.03461,0.01762,2
972,528.01705,0.01756,2
973,528.99952,0.01753,2
