, Rewards, QoS violation,,
Episode: 441 ,-149,0.01767, Action type: [2, 1] 
Episode: 442 ,-150,0.01774, Action type: [2, 1] 
Episode: 443 ,-151,0.01779, Action type: [2, 1] 
Episode: 444 ,-152,0.01784, Action type: [0, 1] 
Episode: 445 ,-153,0.01789, Action type: [0, 2] 
Episode: 446 ,-154,0.01789, Action type: [0, 2] 
Episode: 447 ,-155,0.0179, Action type: [1, 2] 
Episode: 448 ,-154,0.01785, Action type: [2, 0] 
Episode: 449 ,-155,0.01785, Action type: [2, 0] 
Episode: 450 ,-154,0.01784, Action type: [0, 1] 
Episode: 451 ,-155,0.01789, Action type: [0, 2] 
Episode: 452 ,-156,0.0179, Action type: [0, 2] 
Episode: 453 ,-157,0.0179, Action type: [0, 2] 
Episode: 454 ,-158,0.01791, Action type: [2, 0] 
Episode: 455 ,-157,0.0179, Action type: [0, 1] 
Episode: 456 ,-158,0.01798, Action type: [0, 1] 
Episode: 457 ,-159,0.01803, Action type: [0, 1] 
Episode: 458 ,-160,0.01813, Action type: [0, 1] 
Episode: 459 ,-161,0.01813, Action type: [1, 0] 
Episode: 460 ,-162,0.01813, Action type: [1, 2] 
Episode: 461 ,-161,0.01804, Action type: [0, 2] 
Episode: 462 ,-162,0.01805, Action type: [0, 1] 
Episode: 463 ,-163,0.01815, Action type: [2, 1] 
Episode: 464 ,-162,0.01814, Action type: [2, 1] 
Episode: 465 ,-163,0.0182, Action type: [0, 1] 
Episode: 466 ,-164,0.01826, Action type: [0, 2] 
Episode: 467 ,-165,0.01827, Action type: [0, 2] 
Episode: 468 ,-166,0.01828, Action type: [0, 2] 
Episode: 469 ,-167,0.01828, Action type: [2, 1] 
Episode: 470 ,-168,0.01833, Action type: [0, 1] 
Episode: 471 ,-169,0.0184, Action type: [0, 2] 
Episode: 472 ,-170,0.0184, Action type: [0, 2] 
Episode: 473 ,-171,0.01843, Action type: [1, 2] 
Episode: 474 ,-170,0.01838, Action type: [0, 2] 
Episode: 475 ,-171,0.0184, Action type: [0, 1] 
Episode: 476 ,-172,0.01847, Action type: [0, 1] 
Episode: 477 ,-173,0.01852, Action type: [0, 1] 
Episode: 478 ,-174,0.0186, Action type: [0, 1] 
Episode: 479 ,-175,0.01864, Action type: [0, 2] 
Episode: 480 ,-176,0.01865, Action type: [0, 2] 
Episode: 481 ,-177,0.01865, Action type: [0, 2] 
Episode: 482 ,-178,0.01865, Action type: [0, 1] 
