,Rewards,QoS violation,
Episode: 437 ,254.31735,0.0139, Action type: 0 
Episode: 438 ,254.30344,0.01391, Action type: 0 
Episode: 439 ,254.28951,0.01393, Action type: 5 
Episode: 440 ,255.2756,0.01391, Action type: 2 
Episode: 441 ,256.26169,0.01391, Action type: 2 
Episode: 442 ,257.2478,0.01389, Action type: 2 
Episode: 443 ,258.23395,0.01385, Action type: 0 
Episode: 444 ,259.2201,0.01385, Action type: 3 
Episode: 445 ,260.20631,0.01379, Action type: 0 
Episode: 446 ,260.19251,0.0138, Action type: 0 
Episode: 447 ,260.1787,0.01381, Action type: 0 
Episode: 448 ,260.16488,0.01382, Action type: 0 
Episode: 449 ,261.15106,0.01382, Action type: 0 
Episode: 450 ,261.13723,0.01383, Action type: 2 
Episode: 451 ,262.12344,0.01379, Action type: 2 
Episode: 452 ,263.10969,0.01375, Action type: 2 
Episode: 453 ,264.09595,0.01374, Action type: 2 
Episode: 454 ,265.08224,0.01371, Action type: 2 
Episode: 455 ,266.06856,0.01368, Action type: 0 
Episode: 456 ,267.05488,0.01368, Action type: 0 
Episode: 457 ,268.0412,0.01368, Action type: 0 
Episode: 458 ,269.02752,0.01368, Action type: 0 
